Aspect term,Aspect category,Review text
friendly service,service,I was especially impressed during the bday party when the waitstaff went above and beyond in helping me decorate and bring out a bday cake as well as offering prompt and friendly service to a 15 person party.
"performance,  afternoon",food,I have eaten here several times before attending an afternoon performance.
,anecdotes/miscellaneous,The main draw of this place is the price.
,service,"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me."
"be,  potato gratin,  smoked trout,  rabbit,  lamb chops","food,  service","Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on..."
,"food,  service",The service was very attentive and very generous.
,food,"don't get me wrong - sushi was good, just not fantastic."
,anecdotes/miscellaneous,"There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!"
"whole,  restaurant","food,  anecdotes/miscellaneous",There was only one waiter for the whole restaurant upstairs.
superb drinks,anecdotes/miscellaneous,"The music was fascinating, but left room for conversation, and the bartender made superb drinks."
,"food,  anecdotes/miscellaneous",I discovered Applebees when I went away to college in VA.
,"food,  anecdotes/miscellaneous","Give it a try, menu is typical French but varied."
"cute waitresses,  excellent service,  lush atmosphere","food,  service","everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere."
,"anecdotes/miscellaneous,  service",The food is great and the prices are reasonable.
additional people,"anecdotes/miscellaneous,  service",then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.
"sum it,  wo n't,  '10 's",anecdotes/miscellaneous,"SUM IT: don't read the '10's' reviews, try it to judge for yourself so you won't have as hi expectations, then you'll be sure to enjoy it."
,anecdotes/miscellaneous,I absolutely suggest this place.
,anecdotes/miscellaneous,We didn't know if we should order a drink or leave?
,"food,  anecdotes/miscellaneous","When she complained, the waitress said, Sorry."
"quality port,  portuguese cheese cart","food,  anecdotes/miscellaneous",The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.
,food,"The food was extremely tasty, creatively presented and the wine excellent."
"snack,  afternoon",food,Food is excellent and they also have empenadas and plaintains which are good for an afternoon snack.
"brooklyn,  pizza ... .hanx",anecdotes/miscellaneous,"Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best pizza ....Hanx"
"try,  peanut butter sorbet,  soy cheese","food,  anecdotes/miscellaneous,  service",Try the Peanut Butter Sorbet and the pizza with soy cheese!
"great atmosphere,  kimono shrimp,  favorite restaurants",anecdotes/miscellaneous,this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.
,"food,  anecdotes/miscellaneous",The place is absolutely adorable and the food is delicious.
"salads-all good,  rabbit",anecdotes/miscellaneous,"You must try Odessa stew or Rabbit stew; salads-all good; and kompot is soo refreshing during the hot summer day (they make it the way my mom does, reminds me of home a lot)."
,anecdotes/miscellaneous,Horrible experience - stay away!
spicy mussels,service,The spicy mussels are a highlight.
,anecdotes/miscellaneous,Everything is very cheap.
,"ambience,  anecdotes/miscellaneous",WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.
power lunch,"food,  anecdotes/miscellaneous,  service",How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!
"entire positive attitude,  top quality food,  ca n't","food,  anecdotes/miscellaneous,  service",the negative reviews on city search are probably from jealous competing restaurants who realize they can't compete with Temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.
"great,  cheap food,  friendly staff",food,Although I moved uptown I try to stop in as often as possible for the GREAT cheap food and to pay the friendly staff a visit.
,food,"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!"
,"food,  anecdotes/miscellaneous",I went to Common Stock for brunch and I was so impressed.
great place,food,Has the warmth of a family local yet it is a great place to watch sporting events.
fresh juices,"food,  anecdotes/miscellaneous,  service",They specialize in smoothies and fresh juices.
"excellent meal,  lamb shank",anecdotes/miscellaneous,I went this past Saturday and had a excellent meal of consisting of a braised lamb shank with mashed potatoes.
midtown/uptown area,food,"I can understand the prices if it served better food, like some Chinese restaurants in midtown/uptown area."
,anecdotes/miscellaneous,This is literally a hot spot when it comes to the food.
,"food,  anecdotes/miscellaneous","Most importantly, it is reasonably priced."
york,"food,  anecdotes/miscellaneous",This is the best unknown restaurant in and around New York.
,"food,  anecdotes/miscellaneous",We ended up having to just leave because we were essentially being ignored by the wait staff--even though the rest of the restaurant was largely empty.
"great burgers,  french fries",food,"Great burgers, grilled cheeses and french fries."
chicken dinner,anecdotes/miscellaneous,The chicken dinner was real good.
rice milk,anecdotes/miscellaneous,I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.
,"food,  anecdotes/miscellaneous",Dieters stick to salads or indulge in vegetarian platters.
,anecdotes/miscellaneous,My girlfriend and I just spent our 10 month anniversary at Lou Lou.
"cheap,  night","price,  anecdotes/miscellaneous,  service",I just have nothing to say about this place that is negative except that it's not a cheap night out...but it's SO worth it.
,food,"However, the service is absolutely horrible."
,service,since the first time I came here I've been hooked.
indian food,anecdotes/miscellaneous,"For someone who used to hate Indian food, Baluchi's has changed my mid."
great meal,food,Had a great meal there this weekend before heading to the movies!
basic pizza joint,"food,  anecdotes/miscellaneous","It's a basic pizza joint, not much to look at, but the pizza is what I go for."
,anecdotes/miscellaneous,The portions of the food that came out were mediocre.
"indian food,  york",food,"This place has the best Indian food in New York, hands down."
,"food,  anecdotes/miscellaneous",and the owner is simply lovely and friendly.
,anecdotes/miscellaneous,After dinner I heard music playing and discovered that there is a lounge downstairs.
"shavue,  numerous,  restaurants","ambience,  price,  anecdotes/miscellaneous","There are numerous shavue restaurants in LA, but few out here."
,service,"I've been to Sotto Voce several time, and I have to say this one place that hits the nail right on the head ever time!"
soft shell crab sandwich,food,i especially like their soft shell crab sandwich with fries.
have,food,Have to tell you: Not at all impressed.
yummy ingredients,"food,  anecdotes/miscellaneous",They have wheat crusted pizza made with really fresh and yummy ingredients.
,anecdotes/miscellaneous,I never had an orange donut before so I gave it a shot.
great texture,"food,  anecdotes/miscellaneous,  service","Result (red velvet): Great texture, soft and velvety, nice hint of cocoa."
,"food,  anecdotes/miscellaneous,  service","The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy."
,anecdotes/miscellaneous,How have I never been to Agave before?
"chairs,  comfortable",food,Sit back in one of those comfortable chairs.
little place,"food,  service",This little place is wonderfully warm welcoming.
,food,It's a great find in Astoria.
,"food,  service","I'm glad I did as the food was very good and the staff was friendly, courteous and efficient."
,anecdotes/miscellaneous,I highly recommend this restaurant!!
"similar,  restaurant",food,"Both were very good, but nothing you couldn't get at similar restaurant."
,"food,  anecdotes/miscellaneous",Most of the sandwiches are made with soy mayonaise which is actually pretty good.
"good chicken,  good tuna",food,They have a very good chicken with avocado and good tuna as well.
,"anecdotes/miscellaneous,  service",Make more tables- perhaps a rooftop bar?
,"food,  anecdotes/miscellaneous",The only drawback is that it's a little pricey.
"bad,  luck","food,  anecdotes/miscellaneous",My only complaint might be the fortune cookies - I've never had a cookie predict bad luck for me before I visited Kar.
disappointing wine list,"food,  anecdotes/miscellaneous",Somewhat disappointing wine list (only new vintages.
great food,food,"We had tons of great food, wine, and desserts."
,anecdotes/miscellaneous,"We went there, no one greeted us."
,"food,  anecdotes/miscellaneous",The sauce is zesty and flavorful and the crust is nice and crispy.
,service,Tiny restaurant with very fast service.
,"food,  service",And you never get the feeling that you need to leave.
,anecdotes/miscellaneous,Chef Waldy's always measures up.
,food,The space is traditional in feel.
desserts,anecdotes/miscellaneous,Desserts include flan and sopaipillas.
,anecdotes/miscellaneous,The food was almost always EXCELLENT.
"bad,  evenings","food,  price","Even after a few bad evenings at Bardolino, I keep coming back."
,food,It' only open for lunch but the food is so good!
,"food,  anecdotes/miscellaneous,  service",I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.
definitely,anecdotes/miscellaneous,Definitely something to come down and check out.
dinner specials,food,their dinner specials are fantastic.
,"food,  anecdotes/miscellaneous","The food was good, the service prompt, and the price very reasonable. "
,anecdotes/miscellaneous,"Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?"
,food,And the food is fantastic.
,"food,  service","Yes, they're a bit more expensive then typical, but then again, so is their food."
,"food,  service","The service is always great, and the owner walks around to make sure you enjoy."
tables,"food,  service","Tables are close, so you better be comfortable bumping elbows with other patrons."
,anecdotes/miscellaneous,Our waiter was horrible; so rude and disinterested.
,food,The menu is interesting and quite reasonably priced.
waiters need,anecdotes/miscellaneous,because the waiters need SEVERE ATTITUE ADJUSTMENTS.
"horrible bartenders,  bad attitudes","food,  anecdotes/miscellaneous,  service","The service, however, is a peg or two below the quality of food (horrible bartenders), and the clientele, for the most part, are rowdy, loud-mouthed commuters (this could explain the bad attitudes from the staff) getting loaded for an AC/DC concert or a Knicks game."
"...,  chill","food,  anecdotes/miscellaneous",The downstairs bar scene is very cool and chill...
"food,  great service,  warm inviting ambiance",food,"Wonderful menu, warm inviting ambiance, great service the FOOD keeps me coming back!"
bi-level space,"anecdotes/miscellaneous,  service","The room is a gorgeous, bi-level space and the long bar perfect for a drink."
"host,  hostess",anecdotes/miscellaneous,Host and Hostess was quite rude.
comfortable space,"food,  anecdotes/miscellaneous,  service","A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends."
,"food,  service","The ambiance was fine, a little loud but still nice and romantic."
"mediocre food,  exorbitant prices",food,How can they survive serving mediocre food at exorbitant prices?!
,food,(The sashimi is cut a little thinly.
"prices,  restaurant week",price,Prices even outside of restaurant week were great.
,anecdotes/miscellaneous,"Disappointingly, their wonderful Saketini has been taken off the bar menu."
"thai,  favorite places",food,"Not only is this the best Thai restaurant I have been to, but it also ranks as one of my favorite places to dine."
fresh ingredients,"food,  anecdotes/miscellaneous",The food was delicious and clearly fresh ingredients were used.
,anecdotes/miscellaneous,Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?
,anecdotes/miscellaneous,"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste."
,anecdotes/miscellaneous,There's candlelight and music.
real indian food,"food,  anecdotes/miscellaneous",I know real Indian food and this wasn't it.
good book,"food,  service",It's best to go on a cold night with a close friend or a good book.
,service,the service is prompt friendly.
"mango,  margareta",food,"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money."
"diner,  manhattan",anecdotes/miscellaneous,The food is consistant and good but how it got name Best Diner In Manhattan is beyond me.
"options,  vegan","food,  anecdotes/miscellaneous",The food was very good and I was pleasantly surprised to see so many vegan options.
,anecdotes/miscellaneous,If you are a Tequila fan you will not be disappointed.
dirty look,food,"the restaurant was completely empty, but she gave me a dirty look and asked, no reservations?"
"artifical lobster meat,  sashimi","food,  anecdotes/miscellaneous,  service","The Sashimi portion are big enough to appease most people, but I didn't like the fact they used artifical lobster meat."
"wine list,  quiet atmosphere,  good conversation",food,"The wine list was superb, our tapas delightful, and the quiet atmosphere perfect for good conversation."
,"food,  anecdotes/miscellaneous,  service","The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative."
"touch,  nice","food,  anecdotes/miscellaneous",Very nice touch that very much fits the place.
,anecdotes/miscellaneous,How can hope to stay in business with service like this?
,anecdotes/miscellaneous,One of my Fav spots in the city.
the service is perfect too nothing wrong in this italian/french restaurant,anecdotes/miscellaneous,THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT
,service,I ordered from here last week.
"customer,  regular","food,  anecdotes/miscellaneous,  service",I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.
side orders,anecdotes/miscellaneous,"Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix."
's desserts,"food,  anecdotes/miscellaneous,  service",Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.
quick sushi lunch,"anecdotes/miscellaneous,  service",Good for a quick sushi lunch.
[ female ] servers,"food,  anecdotes/miscellaneous","And all the [female] servers are cute too, which is always nice."
"lengths,  great",food,The owner and staff go to great lengths to make you feel comfortable.
