,(anecdotes/miscellaneous#positive),I've been there three times and have always had wonderful experiences.
(People#positive),(service#positive),People are always friendly.
(cream cheeses#positive)(coffee#positive),(food#positive),The cream cheeses are out of this world and I love that coffee!!
(entrees#positive)(sides#positive)(drinks#positive),(food#positive),"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
,(anecdotes/miscellaneous#neutral),hmmm.
(Service#positive),(service#positive),Service was prompt and courteous.
(beef version#negative)(beef#negative),(food#negative),It was not above ordinary and the beef version had cheap (undercooked) beef.
(decor#positive),(ambience#positive),"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great."
(thai#negative),(food#conflict),"It was nice and fresh, but I can't give it high scores on being authentic thai."
,(price#positive),"Overall, worht every penny."
,(anecdotes/miscellaneous#neutral),"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests."
"(club soda, filled with ice, no lime#neutral)",(service#negative),"Got club soda, filled with ice, no lime."
(wine#neutral)(beer#neutral)(house varities#positive)(served#negative),(food#positive),"Only wine and beer are served, but the house varities are actually quite good."
(owners#neutral)(cost#negative),(anecdotes/miscellaneous#negative),This place must have cost the owners afortune to build.
,(food#positive),My mouth starts to water merely thinking about the delight that is this restaurant.
,(anecdotes/miscellaneous#neutral),I haven't been to the other locations.
(pudding dessert#positive),(food#positive),"Oh, and the complimentary pudding dessert was just enough- yummy!"
,(ambience#neutral),People dress in suits or evening gowns as well as shirts jeans.
(vegetable samosa#positive)(malai tikka wrap#positive),(food#positive),we split a tasty vegetable samosa and the malai tikka wrap.
(chef#negative)(waitress#negative),(service#negative)(food#negative),Knowledge of the chef and the waitress are below average.
(drinks#neutral),(anecdotes/miscellaneous#neutral),We were walking around the village and went into this place just for some drinks.
(wine selection#positive),(food#positive),Decent wine selection too.
,(anecdotes/miscellaneous#positive),Go with a group of friends and you will have a great time.
(bar#negative)(waiting#negative)(table#negative),(anecdotes/miscellaneous#conflict),"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime."
(meal#positive),(food#positive),I have to say I have never had a disapointing meal here.
,(anecdotes/miscellaneous#positive),It's one of our favorite places to eat in NY.
,(ambience#conflict),"The place does get crowded, so I recommend going between 4-5 PM."
(goat cheese#positive)(panchetta#positive)(raddichio#negative),(food#conflict),Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
(food#negative)(service#negative),(food#negative)(service#negative),"Disappointing food, lousy service."
,(anecdotes/miscellaneous#positive),"I'm from sichuan, this is the restaurant I recommend going."
,(anecdotes/miscellaneous#positive),This lovely French-Asian fusion restaurant stands out amongst other great restaurants on Smith Street.
(food#positive)(service#positive),(food#positive)(service#positive),"If you want a casual neighborhood bistro that has great food and excellent service, this is the place."
(kinds of beer#positive)(drink#neutral),(food#positive),great place to go for a drink too because they have 100 kinds of beer.
,(anecdotes/miscellaneous#positive),But this place is a well-oiled machine so they know what they're doing.
(price#negative)(portions#negative),(food#negative)(price#negative),"Over price, and small portions ."
(bartender#positive)(champagne#neutral)(turnip soup with pureed basil#positive),(food#positive)(service#positive),"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis."
,(anecdotes/miscellaneous#positive),But I'd go back
,(service#negative),Stepped on my foot on the SECOND time he reached over me to adjust lighting.
(food#positive)(service#positive),(food#positive)(service#positive),The food was well prepared and the service impecable.
(dish#positive)(Thai spiced curry noodles with shrimp#positive)(dish#positive)(cost#positive),(food#positive)(price#positive),"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here."
(atmosphere#positive)(music#positive),(ambience#positive),"Good, dark atmosphere and the music is a nice touch."
(portions#negative)(portion#positive)(main course#negative),(food#negative),"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me."
(thai#negative),(food#negative),But the thai is definitely not great -- bland and indistinguished.
,(anecdotes/miscellaneous#neutral),This Thai restaurant is a couple blocks away from Sripraphai (another delicious Thai restaurant).
(brunch#positive)(nightcap#positive),(ambience#positive),"Great for groups, great for a date, great for early brunch or a nightcap."
,(ambience#positive),Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.
(food suggestions#positive)(server#positive)(sommelier#positive)(fromager#positive)(wine#neutral)(cheese#neutral),(service#positive),Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
,(anecdotes/miscellaneous#conflict),Perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because I have never had anything but a perfect experience at Yasuda.
,(anecdotes/miscellaneous#positive),"That said, I thought Scalini Fedeli was one of the best dining experiences I've EVER had."
,(anecdotes/miscellaneous#positive),Everything about this restaurant was special.
(back garden#positive)(reservation#negative),(ambience#positive),"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather."
(Japanese food#neutral),(food#neutral),Stuffing yourself with Japanese food is a rare thing.
,(anecdotes/miscellaneous#neutral),I try my best to give an accurate description of any establishment visited.
(food#positive)(service#negative),(food#positive)(service#negative),While the food was good (certainly no Il Mulino) the service was horrendous.
,(price#conflict),It is expensive but well worth the money.
(Service#negative)(price category#negative),(service#negative),Service is not what one would expect from a joint in this price category.
(entertainment#positive),(ambience#positive),Our family never expected such incredible entertainment in a restaurant.
(reservations#neutral),(anecdotes/miscellaneous#neutral),i would recommend reservations on weekends though.
,(anecdotes/miscellaneous#positive),There are many Thai places in the city but so far Toons is #1.
(pizza#positive),(food#positive),Great pizza for lunch place.
(food#conflict)(lunch#negative),(food#positive)(price#negative),The food was very expensive (we spent $160 for lunch for two) but extremely tasty.
,(anecdotes/miscellaneous#negative),I don't think I would go again.
(seved#positive),(service#positive)(anecdotes/miscellaneous#neutral),We were a group of 8 and well seved.
,(anecdotes/miscellaneous#neutral),And that's no mean feat...
,(anecdotes/miscellaneous#neutral),I often go there to eat with my family.
,(anecdotes/miscellaneous#negative),I wish they would change back to what it was before.
(signs#positive)(specials menus#positive)(food#positive)(waitstaff#positive),(food#positive)(service#positive)(ambience#positive),"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
,(anecdotes/miscellaneous#negative),NO PIZZA 33 for me!
(scallop roll#positive)(sesame chicken#positive),(food#positive),"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken."
(food#neutral),(anecdotes/miscellaneous#neutral),"I'm no food critic, but I'd like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years."
(bill#neutral),(anecdotes/miscellaneous#neutral),I noted it was crossed off on the bill.
,(anecdotes/miscellaneous#negative),"Needless to say, I'm never going back and you should be wary too."
(nori-wrapped tuna#positive)(dish#positive),(food#positive),Best dish is nori-wrapped tuna.
(food#positive),(food#positive),The food was absolutely amazing!!
(servers#negative)(food#neutral),(service#negative),Some servers make you feel like they are doing you a favor to bring you the food.
(fast food#negative)(food#negative),(food#negative)(anecdotes/miscellaneous#positive),"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing."
(seafood#positive),(anecdotes/miscellaneous#positive)(food#positive),Mermaid Inn is an overall good restaurant with really good seafood.
,(anecdotes/miscellaneous#neutral),I work around the corner and tried it with a colleague for the first time.
,(anecdotes/miscellaneous#neutral),I went here with my boyfriend and another couple.
(staff#positive),(service#positive),The staff is also attentive and friendly.
(all you can eat deal#positive),(price#positive),The all you can eat deal is truly amazing here.
(dish#negative)(taste#neutral)(dishes#negative),(food#negative)(price#negative),"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste."
,(anecdotes/miscellaneous#positive),"This is definitely a place that provides the best experience, though, to both A-listers and people walking in off the street."
(meat patties in steamed buns#negative),(food#negative)(price#negative),They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.
,(anecdotes/miscellaneous#negative),first it took us a long time to find the place.
(pizzas#positive)(price#positive),(food#positive)(price#positive),All of the pizzas are terrific and the price is even better!
(FOOD#negative)(Ambiance#negative),(food#negative)(ambience#negative),"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine."
(food#positive),(food#positive),The food was good too.
,(anecdotes/miscellaneous#positive),"We have tried every Thai restaurant between Atlantic Avenue and 4th Streets, and Joya is the best."
(waiter#negative),(service#negative),"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here."
(dining room#positive)(music#positive),(ambience#positive),The dining room is quietly elegant with no music to shout over -- how refreshing!
(sushi#positive)(fish#neutral),(food#positive),"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US."
,(anecdotes/miscellaneous#positive),I am a die hard peep lover.
,(service#positive),"Once you become a regular, you are treated as one."
(menu#positive)(variety of dishes#positive)(seafood#positive),(food#positive),The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.
,(service#positive),Everyone treats you like you were part of the family.
(white bean brushetta#positive)(pasta#positive),(food#positive),The white bean brushetta to start was incredible and the pasta was phenomenal.
(menu#conflict)(eats#positive),(food#conflict),The rest of the menu is limited by everything is good eats.
(menu#negative),(food#negative),The menu is nothing like the one on the website.
(food#positive)(lay out#positive)(service#positive),(food#positive)(service#positive)(ambience#positive),"Great food, great lay out and awesome service."
(cart attendant#negative)(lotus leaf wrapped rice#neutral)(rice#neutral),(service#negative),Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
,(anecdotes/miscellaneous#negative),SEA has become so popular that they've let it go to their heads.
(seated#positive),(service#positive),We walked in on a Wednesday night and were seated promptly.
,(anecdotes/miscellaneous#positive),Chennai Garden is my favorite Indian restaurant in the city.
(wait staff#positive),(service#positive),"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town."
,(anecdotes/miscellaneous#positive),Oh yeah ever on the west side try there sister resturant Arties Cafe.
,(anecdotes/miscellaneous#positive),(Besides that there should be more restaurants like it around the city).
,(anecdotes/miscellaneous#positive),My roommate and I LOVE this place.
(waitstaff#negative)(service#conflict),(service#conflict),"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely."
(food#positive)(feel#positive)(taste#positive),(food#positive)(ambience#positive),I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
,(anecdotes/miscellaneous#negative),Not worth it.
,(anecdotes/miscellaneous#neutral),"In the evening, this place attracted a well dressed, with it, NY crowd."
(price#positive)(food#positive)(service#positive),(food#positive)(service#positive)(price#positive),"They have it all -- great price, food, and service."
,(anecdotes/miscellaneous#conflict),"So close, but not good enough."
,(anecdotes/miscellaneous#neutral),This was on a Tuesday night.
,(anecdotes/miscellaneous#negative),Its also a bit of a hassle to get to without a car (I happen to live in Inwood).
(flavors#positive)(menu#positive),(food#positive),"The flavors are great, and the menu is extensive."
(food#positive)(service#positive)(ambience#positive),(food#positive)(service#positive)(ambience#positive),"The food was amazing, the service was so attentive and personable, and how about that ambience!"
(interior#positive)(place#positive),(ambience#positive),"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there."
(food#positive),(food#positive),The food has been consistant for years and it never lets you down.
(sashimi plate#positive),(food#positive),I found the variety of the sashimi plate to be satisfying - fresh and yummy.
(atmosphere#neutral),(ambience#neutral),"And forget what you read under me, the atmosphere isn't that bad either."
,(anecdotes/miscellaneous#negative),"Don't waste your time, or money!!"
,(anecdotes/miscellaneous#negative),"They don't concern much of customer's health, just want to make money."
(waitress#negative)(servants#negative),(service#negative),"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down."
(food#positive)(service#neutral),(food#positive)(service#neutral),sometimes i get good food and ok service.
,(anecdotes/miscellaneous#negative),We just ate at Kai and were disapointed.
(food#neutral)(noise#negative),(food#neutral)(ambience#negative)(price#negative),"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks."
,(anecdotes/miscellaneous#positive),This was a great surprise.
(chicken dish#negative)(manager#negative)(dish#neutral),(service#negative)(food#negative),"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like."
(food#positive),(food#positive),The food was spicy and delicious.
,(anecdotes/miscellaneous#neutral),I went with my fiance on a Tuesday evening.
,(price#conflict)(food#positive),A little overpriced but worth it once you take a bite.
,(anecdotes/miscellaneous#positive),It was wonderful.
(lunch#neutral),(anecdotes/miscellaneous#neutral),Went for a late weekday lunch.
,(anecdotes/miscellaneous#negative),I just don't understand all the hype...
(Bartender#negative)(bar#neutral),(service#negative),Bartender was unable to tear himself away from friends at bar.
(food#positive),(food#negative),"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari."
(prix fixe lunch#positive)(buffet#positive),(food#neutral),Dahkin also offers prix fixe lunch and buffet.
(place#conflict),(ambience#conflict),"Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter."
,(ambience#negative),You can barely see who you are with never mind have a conversation.
(food#positive)(service#positive),(food#positive)(service#positive),This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
,(anecdotes/miscellaneous#negative),I don't get it either.
(drinks#neutral)(appetizers#neutral),(anecdotes/miscellaneous#neutral),Went on a double date with friend and his girlfriend for a few drinks and appetizers.
(hot bagel#positive),(food#positive),Great place to grab a hot bagel on the way to work.
(chicken#negative)(oil#neutral)(pepper powder#neutral)(sauce#negative),(food#negative),"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red)."
(waiter#negative)(drinks#neutral),(service#negative),"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so."
,(anecdotes/miscellaneous#positive),One of my favorite places in Manhattan.
,(service#negative),"They brought glasses and the bottle, and just left the bottle at our table."
(food#neutral)(service#neutral)(tip#negative),(food#neutral)(service#neutral)(price#negative),"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off."
(glass of Sangria#positive),(food#positive),We were looking forward to nice glass of Sangria when we arrived.
(table by the window#positive),(anecdotes/miscellaneous#positive),I would highly recommand requesting a table by the window.
(food#positive)(service#negative)(waiter#negative)(service#negative),(food#positive)(service#negative),"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse."
,(anecdotes/miscellaneous#negative),I for one will never patronize them again.
,(anecdotes/miscellaneous#positive),I stumbled upon this great pizzeria as I explored my new neighborhood.
,(anecdotes/miscellaneous#neutral),"After hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try."
(service#positive),(service#positive),"The service, however, was a bright flower in a garden."
,(anecdotes/miscellaneous#positive),"So, again, give it a try."
,(anecdotes/miscellaneous#negative),Stay far away from this place.
,(anecdotes/miscellaneous#positive),We will come back!!!
(menu#positive),(food#positive),We've been to Grocery three times and not once has an item on the menu disappointed.
(food#positive)(food#neutral),(food#conflict),"The food is very good too but for the most part, it's just regular food, nothing special."
(jalapeno#positive),(food#positive),A touch more jalapeno heat for contrast and it would have been very good indeed.
(pad see ew#neutral)(dishes#positive),(food#neutral),Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.
,(anecdotes/miscellaneous#positive),We'd go back again
(back patio#positive)(music#positive),(ambience#positive),"We ate out in the back patio, which is worth it as it's cool and the music is hear well there."
(location#positive),(ambience#positive),The location is perfect.
(Guacamole+shrimp appetizer#positive)(filet#positive)(frites#negative)(filet#positive),(food#conflict),"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
(lunch special#positive),(price#positive),The lunch special is an asbolute steal.
(food#neutral),(food#neutral),This food is asian-air fusion.
(food#positive)(price#positive),(food#positive)(price#positive),Nothing fancy but really good food with pretty reasonable price.
(The chicken pot pie#positive)(cheeseburger#positive)(service#positive),(food#positive)(service#positive),"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm."
(food#positive)(ambience#positive),(food#conflict)(ambience#conflict),"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window."
,(anecdotes/miscellaneous#positive),i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.
,(anecdotes/miscellaneous#neutral),"But on a lazy Saturday night, we ended up going."
(employees#conflict),(service#conflict),There are a few Italian employees who may not speak the best English but for me that adds to the experience.
,(anecdotes/miscellaneous#neutral),"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week."
(dinner#neutral)(brunch#neutral),(anecdotes/miscellaneous#neutral),Once for dinner and once for brunch.
,(anecdotes/miscellaneous#positive),"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square."
(prices#negative),(price#negative),Not worth the prices.
,(anecdotes/miscellaneous#positive),Would recommend - perfect for those looking for a place close to grand central.
(staff#positive),(service#positive),From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.
(Service#positive)(food#positive),(food#positive)(service#positive),Service was good and food is wonderful.
,(anecdotes/miscellaneous#neutral),I only have friends.
(service#positive),(service#positive),She gets 10 for her excellent service and advice.
(meal#positive),(ambience#conflict)(food#positive),The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
(spicy ethnic foods#positive),(food#positive),"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago."
,(anecdotes/miscellaneous#negative),Please save yourself the frustration.
(dinner#negative)(snacking#neutral),(ambience#conflict),And I say snacking because it really is not set up to be a proper dinner.
(quality of food#positive)(live jazz#positive),(food#positive)(ambience#positive),The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
(food#positive),(food#positive)(anecdotes/miscellaneous#neutral),"I have eaten at Saul, many times, the food is always consistently, outrageously good."
(SEASONAL beer#positive)(bartender#neutral),(food#positive),(Always ask the bartender for the SEASONAL beer!!!
(ambiance#positive),(ambience#positive),"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq..."
(food#neutral),(anecdotes/miscellaneous#neutral),"We were on our way back to NJ, and since I am in NY, we figured why not grab some food?"
(sandwiches#conflict),(price#positive),sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective!
,(anecdotes/miscellaneous#neutral),And comparing it to the Chinatown restaurants is simply not fair.
(Service#neutral)(food#neutral),(food#neutral)(service#neutral),Service and food is what any one would expect when spending that type of money.
(atmosphere#positive),(ambience#positive),LOVE the atmosphere - felt like I was in Paris.
(course#positive),(food#positive),Every course was better than the next.
,(price#conflict),"Not cheap, but not that expensive either."
(staff#positive),(service#positive),The staff is incredibly helpful and attentive.
(service#positive),(service#positive),"If presentation and service is your thing, then this magic show works."
(cook#positive),(food#positive),"Apparently, the good cook works then."
,(anecdotes/miscellaneous#positive),I was pleasantly suprised.
(Yellowtail#positive),(food#positive),The Yellowtail was particularly good as well.
,(anecdotes/miscellaneous#neutral),One less manhattanite the better.
,(service#positive),Everyone is welcomed in as family.
(clams oreganta#positive)(salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil#positive),(food#positive),I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.
(menu#negative)(portions#negative)(lentil dish#negative)(basmati rice dish#negative)(flavor#negative),(food#negative),"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor."
(menu#positive),(ambience#positive)(price#positive),"Spice is sleek, modern and cool with a menu that will not hurt your wallet."
(cigar bar#positive)(staff#positive),(service#positive)(ambience#positive),Patroon features a nice cigar bar and has great staff.
,(anecdotes/miscellaneous#neutral),"Hey, I think $2+ for a 5 block walk ain't bad."
(ambient#positive),(ambience#positive)(price#positive),Very affordable and excellent ambient!
,(anecdotes/miscellaneous#negative),Look elsewhere.
(sushi#positive),(food#positive),"More important, the sushi rivals the best in Tokyo."
(cheescake#positive),(food#positive),I have never had cheescake like this.
(Bill#conflict),(price#conflict),"Bill a little high, but worth it."
,(anecdotes/miscellaneous#negative),"I seriously doubt I will ever dine at Jimmy's Bronx, or for that matter, Jimmy's Uptown, again."
,(anecdotes/miscellaneous#positive),Everyone I bring here always loves it.
(delivery#negative),(service#negative),"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered."
,(anecdotes/miscellaneous#positive),Worth a visit.
,(anecdotes/miscellaneous#negative),A real dissapointment.
(entertaining#positive),(ambience#positive),Its a go-to for dates as well as entertaining out of town guests.
(ambience#negative),(ambience#negative),Why do people rave about the ambience.
(drink#neutral),(anecdotes/miscellaneous#neutral),Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.
(Fluke sashimi#positive)(jalapeno-lime olive oil#positive)(fruit of the oil#positive)(fish#positive),(food#positive),"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness."
(sushi#positive),(food#positive),Great sushi experience.
(meal#positive)(price#positive),(food#positive)(price#positive),"If you're looking for a great meal at a decent price, go to Del Frisco's!"
(rice#negative),(price#negative),They charge $6.00 for rice.
(steak au poivre#negative),(food#negative),My steak au poivre was one of the worst I've had.
,(anecdotes/miscellaneous#positive),"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT."
(staff#positive)(ambiance#positive)(owner#positive),(ambience#positive),The owner and staff are all Japanese as well and that adds to the entire ambiance.
(congee#positive)(bread#positive)(donut like deep fried dough they call Ow Ley Soh#positive),(food#positive),"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread."
(candle-light#positive)(food-quality#positive)(service#positive)(tables#negative),(food#positive)(service#positive)(ambience#conflict),"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
(food#positive)(waiter#positive),(food#positive)(service#positive),The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).
(caviar#positive)(waitstaff#positive),(food#positive)(service#positive),"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it."
,(anecdotes/miscellaneous#positive),I will be going back and heartily recommend it!
,(anecdotes/miscellaneous#positive),Would definitely visit again.
,(anecdotes/miscellaneous#positive),Definitely worth the trip to Battery Park City!
(food#conflict)(ethnic food#negative),(food#conflict),"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull."
(place#negative),(ambience#conflict),The place was real empty but that was because this was the first Sunday they ever opened.
(food#positive)(money#positive)(place#conflict),(price#positive)(ambience#conflict),This little place definitely exceeded my expectations and you sure get a lot of food for your money.
(Ambience#positive)(service#positive),(service#positive)(ambience#positive),"Ambience is delightful, service impeccable."
(Service#positive)(AC#positive),(service#positive)(ambience#positive),"Service was excellent, and the AC worked very well too (thank God, it was hot!)."
,(food#positive)(price#negative),Tasty but expensive.
(people#positive),(service#positive),You get the sense that the people there care about their restaurant and about your experience and that is very nice.
(cooks#positive),(food#positive)(service#positive),"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand."
,(anecdotes/miscellaneous#neutral),so i thought why not change it up a bit.
(sushi rolls#positive),(food#positive),My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!
(prices#neutral)(dinner menu to sit#neutral)(take out#neutral),(price#neutral),Although be warned their dinner menu to sit and take out prices are different.
(staff#positive)(food#positive)(place#positive),(food#positive)(service#positive)(ambience#positive),"The staff was accomodating, the food was absolutely delicious and the place is lovely."
,(anecdotes/miscellaneous#neutral),P.S. Please don't tell anyone in my family i eat there.
(Scallion Pancake#positive)(vegetable juice#positive)(Guizhou Chicken#positive)(Shredded Squid Family Style#positive)(Sichuan Spicy Soft Shell Crab#positive)(Shuizhu Fish#positive)(Sichuan food#neutral),(food#positive),"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
(spinach mushroom calzone#negative)(canned vegetables#negative),(food#negative),They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.
(food#neutral),(anecdotes/miscellaneous#neutral),"To celebrate a birthday, three of us went to Mare anticipating great food."
(Blue Point oysters#neutral)(beer#neutral)(glass of wine#neutral),(price#positive),There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!
(noodle dishes#positive)(Green Curry dish#negative),(food#conflict),I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
,(anecdotes/miscellaneous#positive),"I went to pams with my girlfriend, and i love it."
(prices#negative),(price#negative),"But for whatever reason, prices are about twice as high."
(service#negative)(food#negative),(anecdotes/miscellaneous#neutral)(service#negative)(price#negative)(food#negative),I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.
(atmoshere#positive),(ambience#positive),Great atmoshere and worth every bit.
,(anecdotes/miscellaneous#negative),We had a most unpleasant experience at this restaurant.
(spicy tuna roll#positive)(rock shrimp tempura#positive)(appetizer#positive),(food#positive),"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
(staff#positive),(service#positive),The staff was knowledgeable and full of personality.
(staff#positive),(service#positive),Great staff.
(cost#negative)(meal#neutral)(seat#negative),(service#negative)(price#negative),"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!"
(dessert#positive)(White Chocolate Bread Pudding with Gelato and hot chocolate#positive)(dinner#positive),(food#positive),"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate."
(banana tower#positive)(dessert#positive),(food#positive),The banana tower is an amazing dessert as well.
,(anecdotes/miscellaneous#neutral),I went there with my friend last saturday.
(atmosphere#positive)(dishes#positive)(service#positive),(food#positive)(service#positive)(ambience#positive),"Excellent atmosphere, delicious dishes good and friendly service."
(place#positive)(drinks#positive)(desserts#positive),(food#positive)(ambience#positive),A cool place to hang with your friends for a couple of healthy drinks and desserts.
(vibe#positive),(ambience#positive),"Great vibe, lots of people."
(food#positive)(food#positive),(food#conflict),"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down."
,(anecdotes/miscellaneous#neutral),Just an odd group.
(service#negative)(dinner#neutral)(table#positive),(service#conflict),"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night."
,(ambience#negative),"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th."
,(anecdotes/miscellaneous#positive),I love this place!
,(anecdotes/miscellaneous#negative),it is not consistent.
(icing on the cake#negative)(tiramisu#negative),(food#negative),But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.
(food#positive)(prices#positive),(food#positive)(price#positive),Great food and the prices are very reasonable.
(Wine list#conflict),(food#conflict),Wine list is not huge but def well selected.
(bar#positive)(food#positive)(beer#positive),(food#positive)(ambience#positive),"A cool bar with great food, and tons of excellent beer."
(specials#positive),(food#positive),"Be sure to try the seasonal, and always delicious, specials."
(ambience#positive)(service#positive),(ambience#positive)(service#positive),The ambience is authentic and relaxing and we have always received attentive and prompt service.
(french cuisine#positive)(portions#positive),(food#positive),"Fresh, authentic, french cuisine in substantial portions."
(Drinks#negative),(service#negative),"Drinks got screwed up, she acted put upon."
(vegetarian entree#positive)(Abby's treasure#positive)(wintermelon#positive)(assortment of fresh mushrooms and vegetables#positive),(food#positive),The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
(dumplings#positive),(price#positive),"At 5 dumplings for $1, you just cannot go wrong."
(pizza#negative),(price#negative),But the pizza is way to expensive.
(staff#positive),(service#positive),"And the staff is also young, energeic and hot!!!!"
(Steak au Poivre#positive)(Onglet#positive),(food#positive),"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it."
